k1,k2,k4,k5,c1,c2,c4,c5,b1,b2,w1,w2,omega,Objective
25616.87,27331.42,26195.18,25575.56,640.1,908.21,731.63,748.77,2.0,3.5,0.75,1.2,-100.0,0.0031
29429.82,24163.17,22713.84,22428.8,640.07,839.96,650.31,640.0,2.0,3.5,0.75,1.2,-100.0,0.0031
23996.96,26205.61,27505.1,25183.62,640.0,687.19,640.01,640.0,2.0,3.5,0.75,1.2,-100.0,0.0034
20562.61,20994.87,23831.04,26481.38,745.12,640.01,640.0,640.0,3.5,2.0,0.75,1.2,100.0,0.0034
24214.92,22054.23,21586.06,27992.35,640.0,640.0,640.0,640.0,3.19,3.12,1.16,1.2,-100.0,0.0032
22705.28,22207.83,29770.93,29875.89,677.11,667.02,640.06,806.05,3.5,2.0,0.75,1.2,-100.0,0.0033
24496.64,26388.06,27878.47,22453.74,867.15,762.47,640.0,700.47,3.5,2.0,0.75,1.2,100.0,0.0033
22037.88,25391.14,20211.11,25948.75,640.0,640.0,640.0,640.0,2.18,2.03,1.2,1.19,100.0,0.0036
26409.49,23811.25,23605.79,28727.28,687.12,789.56,724.69,640.05,3.49,2.01,0.75,1.2,100.0,0.0036
21435.19,29053.55,30013.65,24843.87,640.0,640.0,640.0,640.0,3.3,3.12,0.77,0.81,100.0,0.0041
20484.77,25222.92,25377.21,26345.52,811.18,673.76,640.0,678.46,2.0,3.5,0.75,1.2,100.0,0.0035
22503.01,24271.78,26696.84,28765.74,747.23,723.84,640.0,738.13,2.0,3.5,0.75,1.2,100.0,0.0036
28927.32,26933.8,23748.64,29291.67,870.35,766.74,640.0,800.23,2.0,3.5,0.75,1.2,-100.0,0.003
27866.63,27075.52,21913.36,27794.66,640.06,670.63,755.56,675.33,3.5,2.0,1.2,0.75,100.0,0.0038
29348.78,28403.41,20306.3,25746.45,640.0,640.0,640.0,640.0,3.02,2.81,0.9,0.85,-100.0,0.0034
20462.46,25233.69,27999.75,29467.24,640.05,640.08,640.0,797.76,2.0,3.5,1.2,0.75,100.0,0.0037
29215.33,20662.4,28656.46,30119.68,640.0,640.0,640.0,640.0,2.13,2.39,1.08,1.2,-100.0,0.0035
26176.36,28082.66,28011.94,27335.83,756.02,640.11,693.93,786.83,2.0,3.5,1.2,0.75,100.0,0.0037
29584.68,21648.46,25217.47,21069.03,640.0,640.0,640.0,640.0,2.11,2.23,1.19,1.17,-100.0,0.0032
21656.5,27165.88,28177.37,23394.45,640.0,722.66,670.45,674.62,2.0,3.5,0.75,1.2,100.0,0.0036
